node1,node2,label
9112,38149,0
38751,38824,1
23013,7184,0
38000,38145,1
37109,8452,0
18794,22228,0
38041,38100,1
38517,38602,1
38128,38221,0
15154,38269,0
4159,9237,0
37987,38025,1
38580,29869,0
38242,35854,0
12938,21091,0
43473,43477,1
37293,8453,0
3669,48476,1
21574,21575,1
8426,8562,1
10693,43471,0
22178,38217,0
15195,27982,0
38621,38215,0
14696,38262,0
38198,8629,0
8562,8636,1
46398,38225,0
38192,38196,1
27405,27419,1
10860,11356,1
37204,42865,1
7869,17310,0
2423,8662,0
38019,38794,0
37129,37134,1
38588,27401,0
2593,37888,0
38760,35945,0
38548,8554,0
38817,38661,0
38047,38100,1
6553,12510,1
37995,8536,0
38007,38116,0
16500,11137,0
38204,38271,1
5960,38738,0
32228,34405,1
42337,26333,0
38540,37303,0
8620,38233,0
35934,38633,0
38544,38640,1
38088,38293,1
33642,31802,0
38033,38225,1
18330,18874,0
32603,38337,0
9238,30946,1
876,8625,0
11760,11761,1
8407,38217,0
8462,38201,0
43576,47929,1
600,33275,0
18138,18139,1
10382,30933,0
989,38676,0
38518,38529,1
38120,38816,0
38802,30983,0
38619,46003,0
38033,38067,1
8247,8523,0
38843,5291,0
38629,51520,0
38545,33412,0
38065,38117,0
38685,38607,0
41867,41870,1
36048,38740,0
14701,14736,0
8639,8662,1
9711,38086,0
38050,38128,1
51745,38264,0
4871,46176,1
38629,42787,0
38665,38714,1
9109,39201,0
38074,38266,1
37991,38720,0
38754,32562,0
38532,38694,1
38045,38292,1
38023,8535,0
38103,39263,0
38595,38810,1
29963,39870,0
11671,42354,1
3024,38790,0
38027,38754,0
38725,38878,1
35908,35910,1
8469,8515,1
48275,48285,1
38525,38842,1
41320,45172,1
16147,18342,1
39981,38576,0
38102,38264,1
25994,16166,0
28930,46220,0
38743,38812,1
31791,38108,0
38004,38162,1
20713,20714,1
38600,29412,0
19605,19606,1
3727,8555,0
600,11172,1
38119,8601,0
37985,35156,0
38115,38131,1
38773,31162,0
38054,39033,0
25904,15396,0
8478,26276,0
